+ NEW DESIGN,,＋새로운 설계
+ NEW SPEC,,＋새로운 사양
<NO SUBJECT>,,<제목 없음>
AMMO,,AMMO
AUTO-FORMAT CODE,,코드 자동 정렬
AVALON CITY,,아발론 시티
Actual,,실제 측정치
Airline cocktail mixer,,항공기용 칵테일 믹서
Animated eSports sign,,eSports 네온사인
Aquaponics maintenance robot,,아쿠아포닉스 관리 로봇
Aquatic harvesting robot,,수상 수확 로봇
Automatic pet feeder,,자동 사료급식기
BEST:,,베스트:
BRIDGE,,브릿지
BROWSE THE WORKSHOP,,WORKSHOP 탐색하기
Brain-computer interface,,뇌-컴퓨터 인터페이스
"But after I graduated, the reality of the world caught up with me.",,"하지만 졸업 후에, 저는 현실을 알았습니다."
But it brought me here.,,하지만, 저는 이걸 완수했습니다.
"But no matter what the future holds, there’s one thing I know.",,"그렇지만, 장래가 어찌 되든 이것만은 확실합니다."
"By uploading this specification, you agree to the Steam Workshop terms of service. For more information, visit:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement",,이 사양을 업로드하려면 Steam 창작마당의 이용약관에 동의해야 합니다:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement
CANCEL,,취소
CC:,,CC:
CHIP'S TIPS,,CHIP'S TIPS
CLOSE,,닫기
COMPILATION FAILED,,컴파일에 실패했습니다
COMPILE ERROR:,,컴파일 에러:
CONNECTING TO LIVE CAMERA FEED...,,실시간 카메라 피드에 접속 중...
CONTINUE EDITING,,편집을 계속하기
CONTROL PANEL,,제어 패널
COPY,,복사
CUSTOM SPECS,,사용자 지정 사양
Carbine target illuminator,,자동소총용 조준기
"Cards can be stacked and moved in the center of the table, but only if they are of alternating suits and decreasing values.",,"카드는 테이블 위에 쌓고 이동할 수 있지만, 내림차순으로 배열해야 하고 같은 색 두 개를 연속으로 배치할 수는 없습니다."
Cellular scaffold printer,,세포 골격 프린터
Click and hold this button to indicate that you have completed the objective.,,이 버튼을 길게 눌러 확인합니다.
Click and hold this button to indicate your readiness.,,이 버튼을 길게 눌러 준비가 되었다는 것을 나타냅니다.
